21-143	AbramÛw
88-414	Piechcin
11-010	Barczewo
11-012	Lamkowo
11-013	Wipsowo
11-014	Ramsowo
11-021	Jedzbark
11-023	Barto≥ty Wielkie
57-255	Przy≥Ík
57-255	Przy≥Ík k. Zπbkowic ålπskich
57-256	Bardo
57-257	Brzeünica
57-257	Brzeünica k. Zπbkowic ålπskich
16-320	Barg≥Ûw
16-320	Barg≥Ûw Koúcielny
16-321	DreÒstwo
16-322	Pruska
74-320	Barlinek
74-322	Mostkowo
11-200	Bartoszyce
11-213	£abÍdnik
11-214	Galiny
11-216	Wojciechy
11-217	Rodnowo
11-222	Bezledy
87-821	Baruchowo
78-444	Polne
78-460	Barwice
78-460	Barwice k. Szczecinka
78-461	Stary Chwalim
23-320	Batorz
23-321	B≥aøek
87-703	£owiczek
87-704	Bπdkowo
99-311	Bedlno
99-312	Plecka Dπbrowa
99-313	Za≥usin
99-316	Miros≥awice
99-316	Miros≥awice k. Øychlina
99-319	Dobrzelin
28-511	Dobies≥awice
28-512	Bejsce
28-513	PrzemykÛw
28-513	PrzemykÛw k. PiÒczowa
05-622	Belsk Duøy
05-622	Belsk Duøy k. GrÛjca
97-400	Be≥chatÛw
97-405	Be≥chatÛw
97-406	Be≥chatÛw
97-412	£Íkawa
97-413	Be≥chatÛw
97-414	Kurnos
22-670	Be≥øec
24-200	Be≥øyce
24-202	Chmielnik
24-202	Chmielnik k. Be≥øyc
24-206	WronÛw
24-206	WronÛw k. Be≥øyc
38-524	Besko
43-512	Bestwina
43-514	KaniÛw
97-227	BÍdkÛw
97-319	BÍdkÛw
42-500	BÍdzin
42-501	BÍdzin
42-503	BÍdzin
42-504	BÍdzin
42-506	BÍdzin
42-570	BÍdzin
76-031	Múcice
76-035	TymieÒ
76-036	Borkowice
76-036	Borkowice k. Koszalina
76-037	BÍdzino
76-038	Dobrzyca
76-038	Dobrzyca k. Koszalina
48-210	Bia≥a
48-210	Bia≥a Prudnicka
48-213	åmicz
48-215	Ligota Bialska
48-215	Ligota Bialska k. Prudnika
48-217	Gostomia
48-220	£πcznik
98-350	Bia≥a
98-350	Bia≥a k. Wielunia
98-351	Naramice
98-353	M≥ynisko
12-204	Kumielsk
12-205	Skarøyn
12-205	Skarøyn k. Pisza
12-207	Bemowo Piskie
12-230	Bia≥a Piska
12-240	Dryga≥y
12-252	DπbrÛwka
12-252	DπbrÛwka k. Pisza
21-500	Bia≥a Podlaska
21-506	BIA£A PODLASKA
21-536	Swory
96-205	Babsk
96-205	Babsk k. Rawy Mazowieckiej
96-228	Grzymkowice
96-229	DaÒkÛw
96-230	Bia≥a Rawska
26-303	Petrykozy
26-307	Bia≥aczÛw
86-005	Bia≥e B≥ota
86-062	Ciele
86-065	£ochowo
26-800	Bia≥obrzegi
26-800	Bia≥obrzegi Radomskie
37-114	Bia≥obrzegi
37-114	Bia≥obrzegi k. £aÒcuta
78-200	Bia≥ogard
78-211	Bia≥ogÛrzyno
78-212	Pomianowo
78-217	Stanomino
22-135	Bia≥opole
22-136	Raciborowice
22-136	Raciborowice k. Hrubieszowa
22-136	Radborowice
22-136	Radborowice k. Hrubieszowa
89-334	Krostkowo
89-340	Bia≥oúliwie
17-230	Bia≥owieøa
78-421	Drzonowo
78-425	Bia≥y BÛr
78-426	SÍpÛlno Wielkie
34-425	Bia≥y Dunajec
15-001	Bia≥ystok
15-002	Bia≥ystok
15-003	Bia≥ystok
15-004	Bia≥ystok
15-005	Bia≥ystok
15-006	Bia≥ystok
15-007	Bia≥ystok
15-008	Bia≥ystok
15-010	Bia≥ystok
15-011	Bia≥ystok
15-013	Bia≥ystok
15-014	Bia≥ystok
15-016	Bia≥ystok
15-017	Bia≥ystok
15-019	Bia≥ystok
15-021	Bia≥ystok
15-023	Bia≥ystok
15-024	Bia≥ystok
15-025	Bia≥ystok
15-027	Bia≥ystok
15-028	Bia≥ystok
15-029	Bia≥ystok
15-030	Bia≥ystok
15-032	Bia≥ystok
15-034	Bia≥ystok
15-035	Bia≥ystok
15-037	Bia≥ystok
15-038	Bia≥ystok
15-040	Bia≥ystok
15-042	Bia≥ystok
15-044	Bia≥ystok
15-045	Bia≥ystok
15-046	Bia≥ystok
15-047	Bia≥ystok
15-048	Bia≥ystok
15-052	Bia≥ystok
15-054	Bia≥ystok
15-055	Bia≥ystok
15-057	Bia≥ystok
15-062	Bia≥ystok
15-063	Bia≥ystok
15-064	Bia≥ystok
15-066	Bia≥ystok
15-067	Bia≥ystok
15-068	Bia≥ystok
15-070	Bia≥ystok
15-071	Bia≥ystok
15-073	Bia≥ystok
15-074	Bia≥ystok
15-077	Bia≥ystok
15-078	Bia≥ystok
15-080	Bia≥ystok
15-082	Bia≥ystok
15-083	Bia≥ystok
15-084	Bia≥ystok
15-085	Bia≥ystok
15-087	Bia≥ystok
15-088	Bia≥ystok
15-089	Bia≥ystok
15-090	Bia≥ystok
15-091	Bia≥ystok
15-092	Bia≥ystok
15-093	Bia≥ystok
15-094	Bia≥ystok
15-095	Bia≥ystok
15-096	Bia≥ystok
15-097	Bia≥ystok
15-099	Bia≥ystok
15-101	Bia≥ystok
15-102	Bia≥ystok
15-103	Bia≥ystok
15-104	Bia≥ystok
15-106	Bia≥ystok
15-107	Bia≥ystok
15-108	Bia≥ystok
15-109	Bia≥ystok
15-110	Bia≥ystok
15-111	Bia≥ystok
15-113	Bia≥ystok
15-114	Bia≥ystok
15-115	Bia≥ystok
15-117	Bia≥ystok
15-118	Bia≥ystok
15-119	Bia≥ystok
15-120	Bia≥ystok
15-121	Bia≥ystok
15-122	Bia≥ystok
15-123	Bia≥ystok
15-124	Bia≥ystok
15-125	Bia≥ystok
15-126	Bia≥ystok
15-127	Bia≥ystok
15-128	Bia≥ystok
15-129	Bia≥ystok
15-130	Bia≥ystok
15-131	Bia≥ystok
15-132	Bia≥ystok
15-133	Bia≥ystok
15-134	Bia≥ystok
15-135	Bia≥ystok
15-136	Bia≥ystok
15-137	Bia≥ystok
15-138	Bia≥ystok
15-139	Bia≥ystok
15-140	Bia≥ystok
15-141	Bia≥ystok
15-142	Bia≥ystok
15-143	Bia≥ystok
15-144	Bia≥ystok
15-145	Bia≥ystok
15-147	Bia≥ystok
15-149	Bia≥ystok
15-150	Bia≥ystok
15-151	Bia≥ystok
15-152	Bia≥ystok
15-153	Bia≥ystok
15-155	Bia≥ystok
15-156	Bia≥ystok
15-157	Bia≥ystok
15-158	Bia≥ystok
15-159	Bia≥ystok
15-160	Bia≥ystok
15-161	Bia≥ystok
15-162	Bia≥ystok
15-163	Bia≥ystok
15-164	Bia≥ystok
15-165	Bia≥ystok
15-166	Bia≥ystok
15-167	Bia≥ystok
15-168	Bia≥ystok
15-169	Bia≥ystok
15-170	Bia≥ystok
15-171	Bia≥ystok
15-173	Bia≥ystok
15-174	Bia≥ystok
15-175	Bia≥ystok
15-176	Bia≥ystok
15-177	Bia≥ystok
15-178	Bia≥ystok
15-180	Bia≥ystok
15-181	Bia≥ystok
15-182	Bia≥ystok
15-183	Bia≥ystok
15-184	Bia≥ystok
15-185	Bia≥ystok
15-186	Bia≥ystok
15-187	Bia≥ystok
15-188	Bia≥ystok
15-189	Bia≥ystok
15-190	Bia≥ystok
15-191	Bia≥ystok
15-192	Bia≥ystok
15-193	Bia≥ystok
15-194	Bia≥ystok
15-195	Bia≥ystok
15-196	Bia≥ystok
15-197	Bia≥ystok
15-198	Bia≥ystok
15-199	Bia≥ystok
15-201	Bia≥ystok
15-202	Bia≥ystok
15-203	Bia≥ystok
15-204	Bia≥ystok
15-205	Bia≥ystok
15-206	Bia≥ystok
15-207	Bia≥ystok
15-208	Bia≥ystok
15-209	Bia≥ystok
15-210	Bia≥ystok
15-211	Bia≥ystok
15-213	Bia≥ystok
15-214	Bia≥ystok
15-215	Bia≥ystok
15-218	Bia≥ystok
15-219	Bia≥ystok
15-220	Bia≥ystok
15-222	Bia≥ystok
15-223	Bia≥ystok
15-224	Bia≥ystok
15-225	Bia≥ystok
15-227	Bia≥ystok
15-229	Bia≥ystok
15-230	Bia≥ystok
15-232	Bia≥ystok
15-233	Bia≥ystok
15-234	Bia≥ystok
15-235	Bia≥ystok
15-236	Bia≥ystok
15-237	Bia≥ystok
15-238	Bia≥ystok
15-239	Bia≥ystok
15-240	Bia≥ystok
15-241	Bia≥ystok
15-242	Bia≥ystok
15-244	Bia≥ystok
15-245	Bia≥ystok
15-246	Bia≥ystok
15-247	Bia≥ystok
15-249	Bia≥ystok
15-250	Bia≥ystok
15-251	Bia≥ystok
15-252	Bia≥ystok
15-253	Bia≥ystok
15-254	Bia≥ystok
15-255	Bia≥ystok
15-256	Bia≥ystok
15-257	Bia≥ystok
15-258	Bia≥ystok
15-259	Bia≥ystok
15-260	Bia≥ystok
15-261	Bia≥ystok
15-262	Bia≥ystok
15-263	Bia≥ystok
15-264	Bia≥ystok
15-265	Bia≥ystok
15-266	Bia≥ystok
15-267	Bia≥ystok
15-268	Bia≥ystok
15-269	Bia≥ystok
15-270	Bia≥ystok
15-271	Bia≥ystok
15-272	Bia≥ystok
15-274	Bia≥ystok
15-275	Bia≥ystok
15-276	Bia≥ystok
15-277	Bia≥ystok
15-278	Bia≥ystok
15-281	Bia≥ystok
15-282	Bia≥ystok
15-283	Bia≥ystok
15-284	Bia≥ystok
15-285	Bia≥ystok
15-287	Bia≥ystok
15-288	Bia≥ystok
15-289	Bia≥ystok
15-290	Bia≥ystok
15-291	Bia≥ystok
15-292	Bia≥ystok
15-293	Bia≥ystok
15-294	Bia≥ystok
15-295	Bia≥ystok
15-297	Bia≥ystok
15-298	Bia≥ystok
15-301	Bia≥ystok
15-302	Bia≥ystok
15-304	Bia≥ystok
15-305	Bia≥ystok
15-306	Bia≥ystok
15-307	Bia≥ystok
15-309	Bia≥ystok
15-311	Bia≥ystok
15-312	Bia≥ystok
15-317	Bia≥ystok
15-320	Bia≥ystok
15-321	Bia≥ystok
15-322	Bia≥ystok
15-323	Bia≥ystok
15-324	Bia≥ystok
15-325	Bia≥ystok
15-327	Bia≥ystok
15-328	Bia≥ystok
15-333	Bia≥ystok
15-335	Bia≥ystok
15-336	Bia≥ystok
15-337	Bia≥ystok
15-338	Bia≥ystok
15-339	Bia≥ystok
15-340	Bia≥ystok
15-341	Bia≥ystok
15-342	Bia≥ystok
15-343	Bia≥ystok
15-345	Bia≥ystok
15-346	Bia≥ystok
15-347	Bia≥ystok
15-348	Bia≥ystok
15-349	Bia≥ystok
15-350	Bia≥ystok
15-351	Bia≥ystok
15-352	Bia≥ystok
15-353	Bia≥ystok
15-354	Bia≥ystok
15-355	Bia≥ystok
15-356	Bia≥ystok
15-357	Bia≥ystok
15-362	Bia≥ystok
15-363	Bia≥ystok
15-364	Bia≥ystok
15-365	Bia≥ystok
15-367	Bia≥ystok
15-369	Bia≥ystok
15-370	Bia≥ystok
15-371	Bia≥ystok
15-372	Bia≥ystok
15-373	Bia≥ystok
15-374	Bia≥ystok
15-376	Bia≥ystok
15-377	Bia≥ystok
15-379	Bia≥ystok
15-380	Bia≥ystok
15-381	Bia≥ystok
15-386	Bia≥ystok
15-387	Bia≥ystok
15-388	Bia≥ystok
15-390	Bia≥ystok
15-391	Bia≥ystok
15-393	Bia≥ystok
15-394	Bia≥ystok
15-395	Bia≥ystok
15-396	Bia≥ystok
15-397	Bia≥ystok
15-398	Bia≥ystok
15-399	Bia≥ystok
15-401	Bia≥ystok
15-402	Bia≥ystok
15-404	Bia≥ystok
15-405	Bia≥ystok
15-406	Bia≥ystok
15-407	Bia≥ystok
15-408	Bia≥ystok
15-410	Bia≥ystok
15-411	Bia≥ystok
15-412	Bia≥ystok
15-413	Bia≥ystok
15-414	Bia≥ystok
15-415	Bia≥ystok
15-416	Bia≥ystok
15-417	Bia≥ystok
15-419	Bia≥ystok
15-420	Bia≥ystok
15-421	Bia≥ystok
15-422	Bia≥ystok
15-423	Bia≥ystok
15-424	Bia≥ystok
15-425	Bia≥ystok
15-426	Bia≥ystok
15-427	Bia≥ystok
15-429	Bia≥ystok
15-430	Bia≥ystok
15-431	Bia≥ystok
15-432	Bia≥ystok
15-434	Bia≥ystok
15-435	Bia≥ystok
15-437	Bia≥ystok
15-439	Bia≥ystok
15-440	Bia≥ystok
15-441	Bia≥ystok
15-443	Bia≥ystok
15-444	Bia≥ystok
15-445	Bia≥ystok
15-446	Bia≥ystok
15-448	Bia≥ystok
15-449	Bia≥ystok
15-450	Bia≥ystok
15-452	Bia≥ystok
15-453	Bia≥ystok
15-455	Bia≥ystok
15-459	Bia≥ystok
15-460	Bia≥ystok
15-461	Bia≥ystok
15-463	Bia≥ystok
15-464	Bia≥ystok
15-465	Bia≥ystok
15-467	Bia≥ystok
15-469	Bia≥ystok
15-470	Bia≥ystok
15-472	Bia≥ystok
15-473	Bia≥ystok
15-476	Bia≥ystok
15-478	Bia≥ystok
15-480	Bia≥ystok
15-481	Bia≥ystok
15-482	Bia≥ystok
15-483	Bia≥ystok
15-487	Bia≥ystok
15-489	Bia≥ystok
15-490	Bia≥ystok
15-501	Bia≥ystok
15-502	Bia≥ystok
15-503	Bia≥ystok
15-505	Bia≥ystok
15-506	Bia≥ystok
15-507	Bia≥ystok
15-509	Bia≥ystok
15-510	Bia≥ystok
15-511	Bia≥ystok
15-512	Bia≥ystok
15-513	Bia≥ystok
15-514	Bia≥ystok
15-516	Bia≥ystok
15-517	Bia≥ystok
15-518	Bia≥ystok
15-519	Bia≥ystok
15-521	Bia≥ystok
15-522	Bia≥ystok
15-523	Bia≥ystok
15-524	Bia≥ystok
15-528	Bia≥ystok
15-530	Bia≥ystok
15-530	Zaúcianki
15-531	Bia≥ystok
15-532	Bia≥ystok
15-533	Bia≥ystok
15-534	Bia≥ystok
15-535	Bia≥ystok
15-536	Bia≥ystok
15-537	Bia≥ystok
15-538	Bia≥ystok
15-539	Bia≥ystok
15-540	Bia≥ystok
15-541	Bia≥ystok
15-542	Bia≥ystok
15-543	Bia≥ystok
15-544	Bia≥ystok
15-545	Bia≥ystok
15-546	Bia≥ystok
15-548	Bia≥ystok
15-549	Bia≥ystok
15-551	Bia≥ystok
15-552	Bia≥ystok
15-553	Bia≥ystok
15-554	Bia≥ystok
15-555	Bia≥ystok
15-556	Bia≥ystok
15-557	Bia≥ystok
15-558	Bia≥ystok
15-559	Bia≥ystok
15-560	Bia≥ystok
15-561	Bia≥ystok
15-562	Bia≥ystok
15-563	Bia≥ystok
15-564	Bia≥ystok
15-565	Bia≥ystok
15-566	Bia≥ystok
15-567	Bia≥ystok
15-569	Bia≥ystok
15-570	Bia≥ystok
15-572	Bia≥ystok
15-573	Bia≥ystok
15-574	Bia≥ystok
15-575	Bia≥ystok
15-576	Bia≥ystok
15-577	Bia≥ystok
15-578	Bia≥ystok
15-579	Bia≥ystok
15-580	Bia≥ystok
15-581	Bia≥ystok
15-582	Bia≥ystok
15-583	Bia≥ystok
15-586	Bia≥ystok
15-587	Bia≥ystok
15-588	Bia≥ystok
15-589	Bia≥ystok
15-590	Bia≥ystok
15-592	Bia≥ystok
15-593	Bia≥ystok
15-594	Bia≥ystok
15-601	Bia≥ystok
15-602	Bia≥ystok
15-603	Bia≥ystok
15-604	Bia≥ystok
15-605	Bia≥ystok
15-606	Bia≥ystok
15-607	Bia≥ystok
15-608	Bia≥ystok
15-611	Bia≥ystok
15-612	Bia≥ystok
15-614	Bia≥ystok
15-615	Bia≥ystok
15-616	Bia≥ystok
15-617	Bia≥ystok
15-618	Bia≥ystok
15-619	Bia≥ystok
15-620	Bia≥ystok
15-623	Bia≥ystok
15-624	Bia≥ystok
15-625	Bia≥ystok
15-626	Bia≥ystok
15-627	Bia≥ystok
15-628	Bia≥ystok
15-629	Bia≥ystok
15-630	Bia≥ystok
15-631	Bia≥ystok
15-632	Bia≥ystok
15-633	Bia≥ystok
15-634	Bia≥ystok
15-635	Bia≥ystok
15-636	Bia≥ystok
15-637	Bia≥ystok
15-638	Bia≥ystok
15-639	Bia≥ystok
15-640	Bia≥ystok
15-641	Bia≥ystok
15-642	Bia≥ystok
15-643	Bia≥ystok
15-644	Bia≥ystok
15-645	Bia≥ystok
15-646	Bia≥ystok
15-647	Bia≥ystok
15-649	Bia≥ystok
15-650	Bia≥ystok
15-651	Bia≥ystok
15-652	Bia≥ystok
15-654	Bia≥ystok
15-655	Bia≥ystok
15-656	Bia≥ystok
15-657	Bia≥ystok
15-660	Bia≥ystok
15-661	Bia≥ystok
15-662	Bia≥ystok
15-663	Bia≥ystok
15-665	Bia≥ystok
15-666	Bia≥ystok
15-667	Bia≥ystok
15-668	Bia≥ystok
15-669	Bia≥ystok
15-670	Bia≥ystok
15-671	Bia≥ystok
15-672	Bia≥ystok
15-673	Bia≥ystok
15-674	Bia≥ystok
15-680	Bia≥ystok
15-681	Bia≥ystok
15-682	Bia≥ystok
15-683	Bia≥ystok
15-684	Bia≥ystok
15-685	Bia≥ystok
15-686	Bia≥ystok
15-687	Bia≥ystok
15-688	Bia≥ystok
15-689	Bia≥ystok
15-690	Bia≥ystok
15-691	Bia≥ystok
15-692	Bia≥ystok
15-693	Bia≥ystok
15-694	Bia≥ystok
15-694	Fasty
15-695	Bia≥ystok
15-696	Bia≥ystok
15-697	Bia≥ystok
15-698	Bia≥ystok
15-701	Bia≥ystok
15-702	Bia≥ystok
15-703	Bia≥ystok
15-705	Bia≥ystok
15-706	Bia≥ystok
15-707	Bia≥ystok
15-709	Bia≥ystok
15-710	Bia≥ystok
15-711	Bia≥ystok
15-712	Bia≥ystok
15-714	Bia≥ystok
15-715	Bia≥ystok
15-717	Bia≥ystok
15-720	Bia≥ystok
15-722	Bia≥ystok
15-723	Bia≥ystok
15-724	Bia≥ystok
15-727	Bia≥ystok
15-729	Bia≥ystok
15-730	Bia≥ystok
15-732	Bia≥ystok
15-740	Bia≥ystok
15-741	Bia≥ystok
15-743	Bia≥ystok
15-746	Bia≥ystok
15-748	Bia≥ystok
15-750	Bia≥ystok
15-751	Bia≥ystok
15-754	Bia≥ystok
15-756	Bia≥ystok
15-757	Bia≥ystok
15-758	Bia≥ystok
15-760	Bia≥ystok
15-762	Bia≥ystok
15-763	Bia≥ystok
15-765	Bia≥ystok
15-767	Bia≥ystok
15-769	Bia≥ystok
15-771	Bia≥ystok
15-773	Bia≥ystok
15-774	Bia≥ystok
15-776	Bia≥ystok
15-777	Bia≥ystok
15-778	Bia≥ystok
15-780	Bia≥ystok
15-782	Bia≥ystok
15-784	Bia≥ystok
15-786	Bia≥ystok
15-788	Bia≥ystok
15-790	Bia≥ystok
15-791	Bia≥ystok
15-793	Bia≥ystok
15-794	Bia≥ystok
15-795	Bia≥ystok
15-796	Bia≥ystok
15-797	Bia≥ystok
15-798	Bia≥ystok
15-801	Bia≥ystok
15-802	Bia≥ystok
15-803	Bia≥ystok
15-805	Bia≥ystok
15-806	Bia≥ystok
15-808	Bia≥ystok
15-809	Bia≥ystok
15-810	Bia≥ystok
15-811	Bia≥ystok
15-812	Bia≥ystok
15-813	Bia≥ystok
15-814	Bia≥ystok
15-815	Bia≥ystok
15-818	Bia≥ystok
15-819	Bia≥ystok
15-820	Bia≥ystok
15-822	Bia≥ystok
15-825	Bia≥ystok
15-827	Bia≥ystok
15-829	Bia≥ystok
15-831	Bia≥ystok
15-833	Bia≥ystok
15-836	Bia≥ystok
15-837	Bia≥ystok
15-839	Bia≥ystok
15-840	Bia≥ystok
15-843	Bia≥ystok
15-845	Bia≥ystok
15-850	Bia≥ystok
15-852	Bia≥ystok
15-854	Bia≥ystok
15-856	Bia≥ystok
15-858	Bia≥ystok
15-860	Bia≥ystok
15-861	Bia≥ystok
15-862	Bia≥ystok
15-863	Bia≥ystok
15-864	Bia≥ystok
15-865	Bia≥ystok
15-866	Bia≥ystok
15-867	Bia≥ystok
15-868	Bia≥ystok
15-869	Bia≥ystok
15-870	Bia≥ystok
15-872	Bia≥ystok
15-873	Bia≥ystok
15-874	Bia≥ystok
15-875	Bia≥ystok
15-879	Bia≥ystok
15-881	Bia≥ystok
15-883	Bia≥ystok
15-885	Bia≥ystok
15-887	Bia≥ystok
15-888	Bia≥ystok
15-889	Bia≥ystok
15-891	Bia≥ystok
15-893	Bia≥ystok
15-895	Bia≥ystok
15-896	Bia≥ystok
15-899	Bia≥ystok
15-900	Bia≥ystok
15-950	Bia≥ystok
15-956	Bia≥ystok
15-959	Bia≥ystok
15-026	Bia≥ystok
15-361	Bia≥ystok
15-659	Bia≥ystok
15-753	Bia≥ystok
15-436	Bia≥ystok
15-817	Bia≥ystok
38-250	Biecz
38-251	Roønowice
38-306	Libusza
38-323	Roønowice
38-340	Biecz
08-311	Bielany
08-312	Rozbity KamieÒ
58-260	Bielawa
58-263	Bielawa
99-423	Bielawy
99-423	Bielawy k. £owicza
99-424	Sobota
99-425	Waliszew
74-202	Bielice
74-202	Bielice k. Pyrzyc
26-004	Bieliny
09-230	Bielsk
09-422	Ciachcin
17-100	Bielsk Podlaski
17-103	Chrabo≥y
17-105	Pasynki
17-107	Ho≥ody
17-108	Piliki
17-121	£ubin Koúcielny
17-131	Augustowo
17-131	Augustowo k. Bielska Podlaskiego
43-300	Bielsko-Bia≥a
43-301	Bielsko-Bia≥a
43-302	Bielsko-Bia≥a
43-303	Bielsko-Bia≥a
43-304	Bielsko-Bia≥a
43-305	Bielsko-Bia≥a
43-307	Bielsko-Bia≥a
43-308	Bielsko-Bia≥a
43-309	Bielsko-Bia≥a
43-310	Bielsko-Bia≥a
43-315	Bielsko-Bia≥a
43-316	Bielsko-Bia≥a
43-318	Bielsko-Bia≥a
43-340	Bielsko-Bia≥a
43-340	Porπbka
43-344	Bielsko-Bia≥a
43-346	Bielsko-Bia≥a
43-382	Bielsko-Bia≥a
47-240	Bierawa
47-244	Dziergowice
47-246	Kotlarnia
43-150	BieruÒ
43-150	BieruÒ Stary
43-155	BieruÒ
43-155	BieruÒ Nowy
56-404	Wabienice
56-415	Solniki Wielkie
56-420	BierutÛw
56-421	Zbytowa
73-233	Zieleniewo
73-234	£asko
73-234	£asko k. Choszczna
73-240	Bierzwnik
76-039	Biesiekierz
09-320	BieøuÒ
09-321	S≥awÍcin
23-400	Bi≥goraj
23-406	Hedwiøyn
23-431	SÛl
23-431	SÛl k. Bi≥goraja
23-435	KorytkÛw Duøy
37-740	Bircza
37-744	Kuümina
37-751	Øohatyn
32-041	Biskupice
32-041	Biskupice k. Krakowa
11-300	Biskupiec
11-300	Biskupiec k. Reszla
11-304	Bredynki
11-306	Kobu≥ty
11-307	Rzeck
11-310	Czerwonka
11-310	Czerwonka k. Reszla
11-331	Biesowo
13-330	Krotoszyny
13-330	Krotoszyny Pomorskie
13-331	Szwarcenowo
13-333	Lipinki
13-333	Lipinki k. Jab≥onowa Pomorskiego
13-334	£πkorz
13-335	Ostrowite
13-335	Ostrowite k. Jab≥onowa Pomorskiego
13-340	Biskupiec
13-340	Biskupiec k. I≥awy
13-341	Podlasek
23-425	Biszcza
23-452	Grudki
23-452	Grudki k. Krasnegostawu
11-215	Woz≥awki
11-218	Sπtopy Samulewo
11-230	Bisztynek
11-312	Sπtopy Samulewo
11-323	Woz≥awki
11-330	Bisztynek
42-290	Blachownia
42-293	Blachownia
66-307	Templewo
66-314	Popowo SkwierzyÒskie
66-350	Bledzew
62-812	JastrzÍbniki
62-813	RychnÛw
62-813	RychnÛw k. Kalisza
62-814	BlizanÛw
26-120	Bliøyn
26-224	MroczkÛw
98-232	Kalinowa
98-232	Kalinowa k. Kalisza
98-235	B≥aszki
98-286	Gruszczyce
98-287	WojkÛw
36-023	Nowy Borek
36-030	B≥aøowa
36-030	B≥aøowa Rzeszowska
36-031	Bia≥ka
36-031	Bia≥ka k. Rzeszowa
36-032	KπkolÛwka
36-034	Futoma
36-035	Piπtkowa
36-035	Piπtkowa k. Rzeszowa
05-620	B≥ÍdÛw
05-621	Lipie
05-621	Lipie k. GrÛjca
05-870	B≥onie
78-430	Bobolice
38-324	Siedliska
38-324	Siedliska k. Gorlic
38-350	Bobowa
38-350	Bobowa k. StrÛø
83-212	Bobowo
83-212	Bobowo k. Starogardu GdaÒskiego
66-626	DychÛw
66-627	Bobrowice
42-582	Rogoünik
42-582	Rogoünik k. BÍdzina
42-583	Bobrowniki
42-583	Bobrowniki k. BÍdzina
42-584	Dobieszowice
42-595	SπczÛw
87-617	Bobrowniki
87-617	Bobrowniki nad Wis≥π
87-325	Ma≥ki
87-326	NieøywiÍÊ
87-327	Bobrowo
87-328	Kruszyny
32-700	Bochnia
32-708	Drzewin
32-711	Bogucice
32-723	Nieprzeúnia
32-744	£apczyca
17-111	BoÊki
17-112	Nurzec
17-112	Nurzec k. Bielska Podlaskiego
17-113	ånieøki
17-114	Andryjanki
09-470	BodzanÛw
09-470	BodzanÛw k. P≥ocka
09-471	Miszewo Murowane
27-412	Szewna
27-420	BodzechÛw
27-421	SarnÛwek
26-010	Bodzentyn
26-011	WzdÛ≥ Rzπdowy
26-013	åwiÍta Katarzyna
26-013	åwiÍta Katarzyna k. Kielc
59-915	Dzia≥oszyn
59-915	Dzia≥oszyn k. Zgorzelca
59-916	Bogatynia
59-920	Bogatynia
59-921	Sieniawka
59-921	Sieniawka k. Bogatyni
